"No.","Time","Source","Destination","Protocol","Length","Info"
"142","0.512483106","192.124.249.24","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  55184 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"147","0.517917584","142.251.35.170","10.0.2.15","TLSv1.3","884","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data"
"148","0.517922572","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [ACK] Seq=1302 Ack=831 Win=63910 Len=0"
"149","0.518243945","10.0.2.15","142.251.35.170","TLSv1.3","138","Application Data, Application Data"
"150","0.518253846","142.251.35.170","10.0.2.15","TLSv1.3","85","Application Data"
"151","0.518260682","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [ACK] Seq=1386 Ack=862 Win=63910 Len=0"
"152","0.518363309","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=862 Ack=1386 Win=65535 Len=0"
"154","0.518730033","10.0.2.15","142.251.35.170","TLSv1.3","85","Application Data"
"155","0.518853435","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=862 Ack=1417 Win=65535 Len=0"
"157","0.528350552","142.251.35.170","10.0.2.15","TLSv1.3","274","Application Data"
"158","0.528355726","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [ACK] Seq=1417 Ack=1082 Win=63910 Len=0"
"159","0.528525698","142.251.35.170","10.0.2.15","TLSv1.3","376","Application Data, Application Data"
"160","0.528530828","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [ACK] Seq=1417 Ack=1404 Win=63910 Len=0"
"161","0.528624619","10.0.2.15","142.251.35.170","TLSv1.3","93","Application Data"
"162","0.528632974","142.251.35.170","10.0.2.15","TLSv1.3","93","Application Data"
"163","0.528638072","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [ACK] Seq=1456 Ack=1443 Win=63910 Len=0"
"164","0.528709504","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=1443 Ack=1456 Win=65535 Len=0"
"165","0.528744185","10.0.2.15","142.251.35.170","TLSv1.3","78","Application Data"
"166","0.528756708","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [FIN, ACK] Seq=1480 Ack=1443 Win=63910 Len=0"
"167","0.528891888","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=1443 Ack=1480 Win=65535 Len=0"
"168","0.528891964","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=1443 Ack=1481 Win=65535 Len=0"
"169","0.535932555","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [FIN, ACK] Seq=1443 Ack=1481 Win=65535 Len=0"
"170","0.535939402","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [ACK] Seq=1481 Ack=1444 Win=63910 Len=0"
"278","0.702643272","10.0.2.15","209.54.183.75","TCP","74","56264  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1703145226 TSecr=0 WS=128"
"297","0.717937910","209.54.183.75","10.0.2.15","TCP","60","443  >  56264 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"298","0.717964532","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"299","0.718956568","10.0.2.15","209.54.183.75","TLSv1.3","571","Client Hello"
"300","0.719059799","209.54.183.75","10.0.2.15","TCP","60","443  >  56264 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"308","0.738352163","209.54.183.75","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"309","0.738358354","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=518 Ack=1461 Win=63360 Len=0"
"310","0.738443820","209.54.183.75","10.0.2.15","TCP","1514","443  >  56264 [PSH, ACK] Seq=1461 Ack=518 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"311","0.738446828","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=518 Ack=2921 Win=61920 Len=0"
"312","0.738536592","209.54.183.75","10.0.2.15","TCP","1230","443  >  56264 [PSH, ACK] Seq=2921 Ack=518 Win=65535 Len=1176 [TCP segment of a reassembled PDU]"
"313","0.738538036","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=518 Ack=4097 Win=60744 Len=0"
"314","0.739484038","209.54.183.75","10.0.2.15","TCP","1494","443  >  56264 [ACK] Seq=4097 Ack=518 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"315","0.739489080","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=518 Ack=5537 Win=63360 Len=0"
"316","0.739529582","209.54.183.75","10.0.2.15","TCP","74","443  >  56264 [PSH, ACK] Seq=5537 Ack=518 Win=65535 Len=20 [TCP segment of a reassembled PDU]"
"317","0.739530993","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=518 Ack=5557 Win=63360 Len=0"
"318","0.739572644","209.54.183.75","10.0.2.15","TLSv1.3","640","Application Data, Application Data, Application Data"
"319","0.739573628","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=518 Ack=6143 Win=63360 Len=0"
"323","0.743453853","10.0.2.15","209.54.183.75","TLSv1.3","118","Change Cipher Spec, Application Data"
"324","0.743547150","209.54.183.75","10.0.2.15","TCP","60","443  >  56264 [ACK] Seq=6143 Ack=582 Win=65535 Len=0"
"325","0.743652086","10.0.2.15","209.54.183.75","TLSv1.3","1281","Application Data"
"326","0.743729103","209.54.183.75","10.0.2.15","TCP","60","443  >  56264 [ACK] Seq=6143 Ack=1809 Win=65535 Len=0"
"328","0.751871270","10.0.2.15","108.139.47.9","TLSv1.2","93","Application Data"
"329","0.751950223","108.139.47.9","10.0.2.15","TCP","60","443  >  55836 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"330","0.751979990","10.0.2.15","104.18.24.18","TLSv1.2","93","Application Data"
"331","0.752056012","104.18.24.18","10.0.2.15","TCP","60","443  >  35660 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"332","0.752200415","10.0.2.15","104.18.24.18","TLSv1.2","78","Application Data"
"333","0.752209712","10.0.2.15","104.18.24.18","TCP","54","35660  >  443 [FIN, ACK] Seq=64 Ack=1 Win=63360 Len=0"
"334","0.752333142","10.0.2.15","108.139.47.9","TLSv1.2","78","Application Data"
"335","0.752335718","104.18.24.18","10.0.2.15","TCP","60","443  >  35660 [ACK] Seq=1 Ack=64 Win=65535 Len=0"
"336","0.752335806","104.18.24.18","10.0.2.15","TCP","60","443  >  35660 [ACK] Seq=1 Ack=65 Win=65535 Len=0"
"337","0.752339038","10.0.2.15","108.139.47.9","TCP","54","55836  >  443 [FIN, ACK] Seq=64 Ack=1 Win=63360 Len=0"
"338","0.752505896","108.139.47.9","10.0.2.15","TCP","60","443  >  55836 [ACK] Seq=1 Ack=64 Win=65535 Len=0"
"339","0.752694938","108.139.47.9","10.0.2.15","TCP","60","443  >  55836 [ACK] Seq=1 Ack=65 Win=65535 Len=0"
"341","0.758011554","209.54.183.75","10.0.2.15","TLSv1.3","212","Application Data, Application Data"
"342","0.758022962","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=1809 Ack=6301 Win=63360 Len=0"
"343","0.759978697","108.139.47.9","10.0.2.15","TCP","60","443  >  55836 [FIN, ACK] Seq=1 Ack=65 Win=65535 Len=0"
"344","0.759985697","10.0.2.15","108.139.47.9","TCP","54","55836  >  443 [ACK] Seq=65 Ack=2 Win=63360 Len=0"
"345","0.761362282","104.18.24.18","10.0.2.15","TCP","60","443  >  35660 [FIN, ACK] Seq=1 Ack=65 Win=65535 Len=0"
"346","0.761368440","10.0.2.15","104.18.24.18","TCP","54","35660  >  443 [ACK] Seq=65 Ack=2 Win=63360 Len=0"
"424","0.780289939","209.54.183.75","10.0.2.15","TLSv1.3","520","Application Data, Application Data"
"425","0.780294861","10.0.2.15","209.54.183.75","TCP","54","56264  >  443 [ACK] Seq=1809 Ack=6767 Win=63360 Len=0"
"434","0.805251896","10.0.2.15","44.215.128.78","TCP","74","45226  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1703608772 TSecr=0 WS=128"
"437","0.821032755","44.215.128.78","10.0.2.15","TCP","60","443  >  45226 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"438","0.821045726","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"439","0.822072855","10.0.2.15","44.215.128.78","TLSv1.3","571","Client Hello"
"440","0.822163483","44.215.128.78","10.0.2.15","TCP","60","443  >  45226 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"445","0.839290754","44.215.128.78","10.0.2.15","TLSv1.3","1434","Server Hello, Change Cipher Spec, Application Data"
"446","0.839296037","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=518 Ack=1381 Win=63480 Len=0"
"447","0.839366956","44.215.128.78","10.0.2.15","TCP","1434","443  >  45226 [PSH, ACK] Seq=1381 Ack=518 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"448","0.839370019","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=518 Ack=2761 Win=63480 Len=0"
"449","0.839445390","44.215.128.78","10.0.2.15","TCP","1390","443  >  45226 [PSH, ACK] Seq=2761 Ack=518 Win=65535 Len=1336 [TCP segment of a reassembled PDU]"
"450","0.839446812","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=518 Ack=4097 Win=62144 Len=0"
"451","0.840559183","44.215.128.78","10.0.2.15","TCP","1434","443  >  45226 [PSH, ACK] Seq=4097 Ack=518 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"452","0.840564061","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=518 Ack=5477 Win=63480 Len=0"
"453","0.840638109","44.215.128.78","10.0.2.15","TLSv1.3","678","Application Data, Application Data, Application Data"
"454","0.840639869","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=518 Ack=6101 Win=63480 Len=0"
"455","0.843378206","10.0.2.15","44.215.128.78","TLSv1.3","118","Change Cipher Spec, Application Data"
"456","0.843463595","44.215.128.78","10.0.2.15","TCP","60","443  >  45226 [ACK] Seq=6101 Ack=582 Win=65535 Len=0"
"457","0.843599998","10.0.2.15","44.215.128.78","TLSv1.3","977","Application Data"
"458","0.843738916","44.215.128.78","10.0.2.15","TCP","60","443  >  45226 [ACK] Seq=6101 Ack=1505 Win=65535 Len=0"
"459","0.856231966","44.215.128.78","10.0.2.15","TLSv1.3","133","Application Data"
"460","0.856237785","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=1505 Ack=6180 Win=63480 Len=0"
"461","0.856410172","44.215.128.78","10.0.2.15","TLSv1.3","133","Application Data"
"462","0.856412184","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=1505 Ack=6259 Win=63480 Len=0"
"463","0.868218642","44.215.128.78","10.0.2.15","TLSv1.3","433","Application Data"
"464","0.868223717","10.0.2.15","44.215.128.78","TCP","54","45226  >  443 [ACK] Seq=1505 Ack=6638 Win=63480 Len=0"
"660","0.989932766","10.0.2.15","142.251.35.170","TCP","74","48256  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2295324959 TSecr=0 WS=128"
"661","0.998950071","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"662","0.998964946","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"665","1.007016911","10.0.2.15","142.251.35.170","TLSv1.3","726","Client Hello"
"666","1.007240486","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [ACK] Seq=1 Ack=673 Win=65535 Len=0"
"667","1.007250210","10.0.2.15","142.251.35.170","TLSv1.3","682","Change Cipher Spec, Application Data"
"669","1.007425031","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [ACK] Seq=1 Ack=1301 Win=65535 Len=0"
"672","1.026068825","142.251.35.170","10.0.2.15","TLSv1.3","822","Server Hello, Change Cipher Spec, Application Data, Application Data"
"673","1.026079085","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [ACK] Seq=1301 Ack=769 Win=63744 Len=0"
"674","1.026218446","142.251.35.170","10.0.2.15","TLSv1.3","116","Application Data"
"675","1.026224046","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [ACK] Seq=1301 Ack=831 Win=63744 Len=0"
"676","1.026469797","10.0.2.15","142.251.35.170","TLSv1.3","138","Application Data, Application Data"
"677","1.026649538","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [ACK] Seq=831 Ack=1385 Win=65535 Len=0"
"678","1.026806685","142.251.35.170","10.0.2.15","TLSv1.3","85","Application Data"
"679","1.026811454","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [ACK] Seq=1385 Ack=862 Win=63744 Len=0"
"680","1.027465884","10.0.2.15","142.251.35.170","TLSv1.3","85","Application Data"
"681","1.027556806","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [ACK] Seq=862 Ack=1416 Win=65535 Len=0"
"682","1.036648382","142.251.35.170","10.0.2.15","TLSv1.3","274","Application Data"
"683","1.036653381","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [ACK] Seq=1416 Ack=1082 Win=63744 Len=0"
"684","1.036767969","142.251.35.170","10.0.2.15","TLSv1.3","376","Application Data, Application Data"
"685","1.036775917","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [ACK] Seq=1416 Ack=1404 Win=63422 Len=0"
"686","1.036887338","10.0.2.15","142.251.35.170","TLSv1.3","93","Application Data"
"687","1.036940473","10.0.2.15","142.251.35.170","TLSv1.3","78","Application Data"
"688","1.036948380","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [FIN, ACK] Seq=1479 Ack=1404 Win=63422 Len=0"
"689","1.036992971","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [ACK] Seq=1404 Ack=1455 Win=65535 Len=0"
"690","1.037013905","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [ACK] Seq=1404 Ack=1479 Win=65535 Len=0"
"691","1.037042638","142.251.35.170","10.0.2.15","TCP","60","443  >  48256 [ACK] Seq=1404 Ack=1480 Win=65535 Len=0"
"692","1.037397805","142.251.35.170","10.0.2.15","TLSv1.3","93","Application Data"
"693","1.037407518","10.0.2.15","142.251.35.170","TCP","54","48256  >  443 [RST] Seq=1480 Win=0 Len=0"
"708","1.056401724","10.0.2.15","3.82.67.95","TCP","74","57502  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3534736033 TSecr=0 WS=128"
"710","1.056480190","10.0.2.15","3.82.67.95","TCP","74","57506  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3534736033 TSecr=0 WS=128"
"712","1.056612721","10.0.2.15","3.82.67.95","TCP","74","57516  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3534736033 TSecr=0 WS=128"
"714","1.059866328","10.0.2.15","108.138.112.90","TCP","74","33318  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2601519094 TSecr=0 WS=128"
"716","1.060847239","10.0.2.15","44.215.118.141","TCP","74","40332  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1553490419 TSecr=0 WS=128"
"717","1.063658238","10.0.2.15","3.82.67.95","TCP","74","57528  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3534736040 TSecr=0 WS=128"
"718","1.066892255","108.138.112.90","10.0.2.15","TCP","60","443  >  33318 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"719","1.066902482","10.0.2.15","108.138.112.90","TCP","54","33318  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"720","1.067851487","10.0.2.15","108.138.112.90","TLSv1.3","571","Client Hello"
"721","1.067962131","108.138.112.90","10.0.2.15","TCP","60","443  >  33318 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"726","1.069674376","10.0.2.15","3.82.67.95","TCP","74","57534  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3534736046 TSecr=0 WS=128"
"727","1.072493188","3.82.67.95","10.0.2.15","TCP","60","443  >  57506 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"728","1.072506620","10.0.2.15","3.82.67.95","TCP","54","57506  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"729","1.072699690","3.82.67.95","10.0.2.15","TCP","60","443  >  57502 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"730","1.072707226","10.0.2.15","3.82.67.95","TCP","54","57502  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"731","1.073029008","3.82.67.95","10.0.2.15","TCP","60","443  >  57516 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"732","1.073036412","10.0.2.15","3.82.67.95","TCP","54","57516  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"734","1.073415673","10.0.2.15","3.82.67.95","TLSv1.2","571","Client Hello"
"736","1.073503458","3.82.67.95","10.0.2.15","TCP","60","443  >  57506 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"738","1.074630487","10.0.2.15","3.82.67.95","TLSv1.2","571","Client Hello"
"739","1.074718491","3.82.67.95","10.0.2.15","TCP","60","443  >  57502 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"740","1.075516639","10.0.2.15","3.82.67.95","TLSv1.2","571","Client Hello"
"741","1.075603128","3.82.67.95","10.0.2.15","TCP","60","443  >  57516 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"742","1.076152123","10.0.2.15","3.82.67.95","TCP","74","57542  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3534736053 TSecr=0 WS=128"
"743","1.082568724","3.82.67.95","10.0.2.15","TCP","60","443  >  57528 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"744","1.082580657","10.0.2.15","3.82.67.95","TCP","54","57528  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"745","1.082673375","44.215.118.141","10.0.2.15","TCP","60","443  >  40332 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"746","1.082676241","10.0.2.15","44.215.118.141","TCP","54","40332  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"747","1.083439864","10.0.2.15","3.82.67.95","TLSv1.2","571","Client Hello"
"748","1.083537761","3.82.67.95","10.0.2.15","TCP","60","443  >  57528 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"749","1.083721027","108.138.112.90","10.0.2.15","TLSv1.3","2934","Server Hello, Change Cipher Spec, Application Data"
"750","1.083726245","10.0.2.15","108.138.112.90","TCP","54","33318  >  443 [ACK] Seq=518 Ack=2881 Win=63360 Len=0"
"751","1.084180218","108.138.112.90","10.0.2.15","TCP","1494","443  >  33318 [PSH, ACK] Seq=2881 Ack=518 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"752","1.084186234","10.0.2.15","108.138.112.90","TCP","54","33318  >  443 [ACK] Seq=518 Ack=4321 Win=61920 Len=0"
"755","1.084418090","108.138.112.90","10.0.2.15","TLSv1.3","569","Application Data, Application Data, Application Data"
"756","1.084419051","10.0.2.15","44.215.118.141","TLSv1.3","571","Client Hello"
"757","1.084425919","10.0.2.15","108.138.112.90","TCP","54","33318  >  443 [ACK] Seq=518 Ack=4836 Win=61405 Len=0"
"758","1.084516399","44.215.118.141","10.0.2.15","TCP","60","443  >  40332 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"761","1.087243341","10.0.2.15","108.138.112.90","TLSv1.3","118","Change Cipher Spec, Application Data"
"762","1.087474211","10.0.2.15","108.138.112.90","TLSv1.3","224","Application Data"
"763","1.087565743","108.138.112.90","10.0.2.15","TCP","60","443  >  33318 [ACK] Seq=4836 Ack=752 Win=65535 Len=0"
"764","1.088349978","3.82.67.95","10.0.2.15","TCP","60","443  >  57534 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"765","1.088357382","10.0.2.15","3.82.67.95","TCP","54","57534  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"766","1.089790839","10.0.2.15","3.82.67.95","TLSv1.2","571","Client Hello"
"767","1.089880358","3.82.67.95","10.0.2.15","TCP","60","443  >  57534 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"768","1.092584996","3.82.67.95","10.0.2.15","TLSv1.2","2934","Server Hello"
"769","1.092589972","10.0.2.15","3.82.67.95","TCP","54","57506  >  443 [ACK] Seq=518 Ack=2881 Win=63360 Len=0"
"770","1.092730561","3.82.67.95","10.0.2.15","TLSv1.2","1554","Certificate [TCP segment of a reassembled PDU]"
"771","1.092736215","10.0.2.15","3.82.67.95","TCP","54","57506  >  443 [ACK] Seq=518 Ack=4381 Win=61920 Len=0"
"773","1.095223872","10.0.2.15","18.173.240.180","OCSP","487","Request"
"774","1.095273791","18.173.240.180","10.0.2.15","TCP","60","80  >  33538 [ACK] Seq=1 Ack=434 Win=65535 Len=0"
"775","1.096584737","3.82.67.95","10.0.2.15","TLSv1.2","129","Server Key Exchange, Server Hello Done"
"776","1.096589527","10.0.2.15","3.82.67.95","TCP","54","57506  >  443 [ACK] Seq=518 Ack=4456 Win=63360 Len=0"
"777","1.097975378","10.0.2.15","3.82.67.95","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"778","1.098056502","3.82.67.95","10.0.2.15","TCP","60","443  >  57506 [ACK] Seq=4456 Ack=644 Win=65535 Len=0"
"779","1.105221593","3.82.67.95","10.0.2.15","TLSv1.2","2934","Server Hello"
"780","1.105226690","10.0.2.15","3.82.67.95","TCP","54","57502  >  443 [ACK] Seq=518 Ack=2881 Win=63360 Len=0"
"781","1.105396890","3.82.67.95","10.0.2.15","TCP","60","443  >  57542 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"782","1.105396945","3.82.67.95","10.0.2.15","TCP","94","443  >  57502 [PSH, ACK] Seq=2881 Ack=518 Win=65535 Len=40 [TCP segment of a reassembled PDU]"
"783","1.105406274","10.0.2.15","3.82.67.95","TCP","54","57542  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"784","1.105410868","10.0.2.15","3.82.67.95","TCP","54","57502  >  443 [ACK] Seq=518 Ack=2921 Win=63360 Len=0"
"785","1.105540128","3.82.67.95","10.0.2.15","TLSv1.2","1589","Certificate, Server Key Exchange, Server Hello Done"
"786","1.105541692","10.0.2.15","3.82.67.95","TCP","54","57502  >  443 [ACK] Seq=518 Ack=4456 Win=63360 Len=0"
"787","1.105973683","44.215.118.141","10.0.2.15","TLSv1.3","2850","Server Hello, Change Cipher Spec, Application Data"
"788","1.105976702","10.0.2.15","44.215.118.141","TCP","54","40332  >  443 [ACK] Seq=518 Ack=2797 Win=63360 Len=0"
"789","1.106054468","3.82.67.95","10.0.2.15","TLSv1.2","1514","Server Hello"
"790","1.106055835","10.0.2.15","3.82.67.95","TCP","54","57528  >  443 [ACK] Seq=518 Ack=1461 Win=63360 Len=0"
"791","1.106104857","108.138.112.90","10.0.2.15","TLSv1.3","304","Application Data, Application Data"
"792","1.106104890","3.82.67.95","10.0.2.15","TLSv1.2","1494","Server Hello"
"793","1.106106454","10.0.2.15","108.138.112.90","TCP","54","33318  >  443 [ACK] Seq=752 Ack=5086 Win=63360 Len=0"
"794","1.106110184","10.0.2.15","3.82.67.95","TCP","54","57516  >  443 [ACK] Seq=518 Ack=1441 Win=63360 Len=0"
"795","1.106135833","3.82.67.95","10.0.2.15","TCP","1494","443  >  57516 [ACK] Seq=1441 Ack=518 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"796","1.106137944","10.0.2.15","3.82.67.95","TCP","54","57516  >  443 [ACK] Seq=518 Ack=2881 Win=63360 Len=0"
"798","1.106202803","44.215.118.141","10.0.2.15","TCP","1494","443  >  40332 [ACK] Seq=2797 Ack=518 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"799","1.106204050","10.0.2.15","44.215.118.141","TCP","54","40332  >  443 [ACK] Seq=518 Ack=4237 Win=61920 Len=0"
